"","KeyCount","RebalanceActive","MaxFixedCache2BranchLength","RebalancingMode","Cache1Items","Cache2Items","Cache2ItemsGone","AvgTime"
"1474",4000,FALSE,13,"None",428.25,2735.25,2253.5,7
"1475",4000,TRUE,14,"Light",348.25,3146,1905,6.25
"1476",4000,TRUE,14,"Heavy",251.75,3111.75,639,4
"1477",4000,TRUE,14,"Mixed",248.75,3296,649.25,4
"1478",4000,FALSE,14,"None",434,2774.75,2662,8
"1479",4000,TRUE,15,"Light",325.5,3399.75,1533,5.25
"1480",4000,TRUE,15,"Heavy",219.75,3278.25,393.25,3
"1481",4000,TRUE,15,"Mixed",219.75,3174,366.25,3
"1482",4000,FALSE,15,"None",301.25,2940.25,1185,5
"1483",4000,TRUE,16,"Light",368.75,2847.75,1855.5,6.5
"1484",4000,TRUE,16,"Heavy",180,3201.75,248.25,2.75
"1485",4000,TRUE,16,"Mixed",195,3250.75,137.5,2.5
"1486",4000,FALSE,16,"None",269.25,3051.75,877,4
"1487",4000,TRUE,17,"Light",236,3100.5,647.5,4.25
"1488",4000,TRUE,17,"Heavy",138,3290.5,69.75,2
"1489",4000,TRUE,17,"Mixed",176.25,3248,119.75,2.25
"1490",4000,FALSE,17,"None",255.75,3042.5,826.25,3.5
"1491",4000,TRUE,8,"Light",518.75,2390,3690.5,10.5
"1492",4000,TRUE,8,"Heavy",343.25,2531,3899.5,10.75
"1493",4000,TRUE,8,"Mixed",404.5,3093,3852,10.75
"1494",4000,FALSE,8,"None",475.5,2417.25,3709.5,10.5
"1495",4000,TRUE,9,"Light",511.5,3161.5,3265,9.25
"1496",4000,TRUE,9,"Heavy",458.5,2705,3400.25,9.75
"1497",4000,TRUE,9,"Mixed",472.5,2889.75,3445.75,10
"1498",4000,FALSE,9,"None",532.5,2490.25,3583.5,10.25
"1499",4000,TRUE,10,"Light",438.25,2690.75,3365.25,9.5
"1500",4000,TRUE,10,"Heavy",464,2523.5,3175.25,9.25
"1501",4000,TRUE,10,"Mixed",429.25,2699.75,3008.5,9
"1502",4000,FALSE,10,"None",447.75,2760.25,3159.75,9
"1503",4000,TRUE,11,"Light",420,2770.5,2902.25,8.5
"1504",4000,TRUE,11,"Heavy",440.75,2591.25,2437.5,7.75
"1505",4000,TRUE,11,"Mixed",452.75,2674.75,2424.75,7.75
"1506",4000,FALSE,11,"None",454,2514.75,2798.25,8.75
"1507",4000,TRUE,12,"Light",435.5,2587.5,2676,8
"1508",4000,TRUE,12,"Heavy",373.5,2747.25,1985.25,7
"1509",4000,TRUE,12,"Mixed",410.75,2778,1812,5.75
"1510",4000,FALSE,12,"None",490.25,2419,3070.75,9
"1511",4000,TRUE,13,"Light",398,2788,2338.25,7.25
"1512",4000,TRUE,13,"Heavy",292.25,2977.25,1146.5,4.5
"1513",4000,TRUE,13,"Mixed",336,2962.25,1208.5,4.5
"1514",4000,FALSE,13,"None",423.25,2795.25,2191.75,6.75
"1515",4000,TRUE,14,"Light",431.5,2684.5,2353.5,7.25
"1516",4000,TRUE,14,"Heavy",233.75,3111.75,574,3.5
"1517",4000,TRUE,14,"Mixed",223.75,3147.75,616.75,3.75
"1518",4000,FALSE,14,"None",322.5,2971.25,1317.75,4.75
"1519",4000,TRUE,15,"Light",329.25,2952.5,1412.5,5.25
"1520",4000,TRUE,15,"Heavy",207,3197.5,292.25,2.75
"1521",4000,TRUE,15,"Mixed",228.5,3188,407.5,3
"1522",4000,FALSE,15,"None",333.25,2935.5,1644.75,5.75
"1523",4000,TRUE,16,"Light",283,3082.25,889,4
"1524",4000,TRUE,16,"Heavy",214.75,3215.5,356.25,2.75
"1525",4000,TRUE,16,"Mixed",192.25,3244.75,203.5,3
"1526",4000,FALSE,16,"None",359,2902.75,1580.25,5.5
"1527",4000,TRUE,17,"Light",299.75,3030,1164.25,4.75
"1528",4000,TRUE,17,"Heavy",166,3276.75,68.5,2
"1529",4000,TRUE,17,"Mixed",196,3253.25,172.5,2.5
"1530",4000,FALSE,17,"None",245.25,3154.5,526.5,2.75
"1531",4000,TRUE,8,"Light",579.5,2363,3896.75,11
"1532",4000,TRUE,8,"Heavy",402.75,2532.25,3814.75,11
"1533",4000,TRUE,8,"Mixed",411,2695.75,3651.25,10.25
"1534",4000,FALSE,8,"None",468.25,2375.75,3840.75,11
"1535",4000,TRUE,9,"Light",360.25,2535,3408.25,9.5
"1536",4000,TRUE,9,"Heavy",522,2467,3304.25,9.25
"1537",4000,TRUE,9,"Mixed",506.75,2477.5,3727.5,10.75
"1538",4000,FALSE,9,"None",449.75,2742.5,3341,9.25
"1539",4000,TRUE,10,"Light",540.25,2539.5,3466,9.25
"1540",4000,TRUE,10,"Heavy",444.25,2698.25,2828.5,8.25
"1541",4000,TRUE,10,"Mixed",458.75,2701.75,2871.5,8.75
"1542",4000,FALSE,10,"None",407.25,2737.5,3453.25,10
"1543",4000,TRUE,11,"Light",438.5,2733.75,3162.5,8.75
"1544",4000,TRUE,11,"Heavy",389.25,2748.75,2401.25,7.5
"1545",4000,TRUE,11,"Mixed",414,2663.75,2381.25,7.75
"1546",4000,FALSE,11,"None",480.25,2546.25,2685.75,7.75
"1547",4000,TRUE,12,"Light",470,2603,2540.5,7.5
"1548",4000,TRUE,12,"Heavy",357.75,2798,1690.5,5.75
"1549",4000,TRUE,12,"Mixed",376.25,2838,1929.5,6.5
"1550",4000,FALSE,12,"None",503.5,2620.5,2936.25,8.5
"1551",4000,TRUE,13,"Light",435,2705.5,2292.25,7
"1552",4000,TRUE,13,"Heavy",308,2942.25,1327.75,4.75
"1553",4000,TRUE,13,"Mixed",296.25,2974.5,1125,4.75
"1554",4000,FALSE,13,"None",446,2752,2691.75,8
"1555",4000,TRUE,14,"Light",376.75,2697.5,2136.5,6.5
"1556",4000,TRUE,14,"Heavy",257.5,3096.5,626.5,4
"1557",4000,TRUE,14,"Mixed",239.75,3103.25,647.25,4
"1558",4000,FALSE,14,"None",394.5,2767.5,2104.75,6.75
"1559",4000,TRUE,15,"Light",323.25,2872.75,1561.25,5.75
"1560",4000,TRUE,15,"Heavy",206.25,3167.75,407.25,3
"1561",4000,TRUE,15,"Mixed",222,3124.5,484,3.5
"1562",4000,FALSE,15,"None",365.75,2795.75,1875.75,6
"1563",4000,TRUE,16,"Light",313,2958,1393.5,5
"1564",4000,TRUE,16,"Heavy",217.5,3210,226,3.25
"1565",4000,TRUE,16,"Mixed",202,3209.25,241.5,3
"1566",4000,FALSE,16,"None",301,2979.75,1110.75,5
"1567",4000,TRUE,17,"Light",322.75,2973.75,1427.5,5.25
"1568",4000,TRUE,17,"Heavy",172,3215.25,215.5,2.75
"1569",4000,TRUE,17,"Mixed",181,3259,88.25,2.25
"1570",4000,FALSE,17,"None",246.75,3089.25,672,4.25
"1571",4000,TRUE,8,"Light",491,2657.25,3422.75,9.5
"1572",4000,TRUE,8,"Heavy",550.5,2320.75,3795.25,10.5
"1573",4000,TRUE,8,"Mixed",449.5,2543.75,4051.5,11.75
"1574",4000,FALSE,8,"None",508.75,2627.5,3500,9.75
"1575",4000,TRUE,9,"Light",515.75,2251.25,3674,10.5
"1576",4000,TRUE,9,"Heavy",434.75,2749.5,3259.75,9.75
"1577",4000,TRUE,9,"Mixed",523.5,2573.5,3368.75,9.5
"1578",4000,FALSE,9,"None",476.75,2657,3635.25,10.25
"1579",4000,TRUE,10,"Light",501.5,2260.5,3672.5,10.25
"1580",4000,TRUE,10,"Heavy",433,2747.25,2834.75,8.25
"1581",4000,TRUE,10,"Mixed",419,2781.25,2802.25,8.25
"1582",4000,FALSE,10,"None",471.75,2602.75,3504.25,10.25
"1583",4000,TRUE,11,"Light",394.75,2746.75,3217.25,9.75
"1584",4000,TRUE,11,"Heavy",410.25,2712.5,2341.75,7.5
"1585",4000,TRUE,11,"Mixed",445.25,2604.75,2358,7.75
"1586",4000,FALSE,11,"None",491.25,2568.5,3210,9
"1587",4000,TRUE,12,"Light",418.75,2784,2855,8.25
"1588",4000,TRUE,12,"Heavy",348.25,2849.5,1635.25,5.5
"1589",4000,TRUE,12,"Mixed",369.25,2812.5,1687.25,5.75
"1590",4000,FALSE,12,"None",405.5,2825.5,2579.75,8
"1591",4000,TRUE,13,"Light",423.25,2781.5,2659,8
"1592",4000,TRUE,13,"Heavy",306.75,2969.75,1113,5
"1593",4000,TRUE,13,"Mixed",227.25,2987.25,1119.25,4.5
"1594",4000,FALSE,13,"None",430.5,2710,2347.75,6.75
"1595",4000,TRUE,14,"Light",409,2870.5,2143.75,6.25
"1596",4000,TRUE,14,"Heavy",273,3045,779.5,3.75
