"","KeyCount","RebalanceActive","MaxFixedCache2BranchLength","RebalancingMode","Cache1Items","Cache2Items","Cache2ItemsGone","AvgTime","GoneIntensity"
"40",3000,FALSE,15,"None",276,2169,2418.5,9.25,0.3675125
"41",3000,TRUE,11,"Light",380,1655.5,6230.25,20.75,0.6896866
"42",3000,TRUE,11,"Heavy",326.75,1639,6605,21.25,0.598987
"43",3000,TRUE,11,"Mixed",403,1737,7695.75,25,0.5380164
"44",3000,FALSE,11,"None",454,1739.25,7381,24,0.5711267
"45",3000,TRUE,12,"Light",394,1920,4295.25,14.5,0.3728561
"46",3000,TRUE,12,"Heavy",451,1638.25,7787.75,25.25,0.383972
"47",3000,TRUE,12,"Mixed",380.25,1620.75,7466.25,24.5,0.3038405
"48",3000,FALSE,12,"None",460.75,1737,5639.25,18.75,0.494593
"49",3000,TRUE,13,"Light",373.25,1987.75,3984.75,14,0.1288638
"50",3000,TRUE,13,"Heavy",233.75,2300.75,1476.5,8.25,0.03079554
"51",3000,TRUE,13,"Mixed",339.25,1978.5,3536,12.75,0.1187808
"52",3000,FALSE,13,"None",441.25,1782.5,5910.5,19.25,0.3844775
"53",3000,TRUE,14,"Light",315.75,2079,2548.25,9.75,0.07585278
"54",3000,TRUE,14,"Heavy",358.5,2020.25,3536.25,12.25,0.1762092
"55",3000,TRUE,14,"Mixed",275.5,2114.25,2470.75,9.5,0.4042571
"56",3000,FALSE,14,"None",353.75,1944.25,4565.25,15.25,0.5035367
"57",3000,TRUE,15,"Light",313.25,2058.75,4310.75,15,0.2570665
"58",3000,TRUE,15,"Heavy",232,2265.5,174.5,5.25,0.005771275
"59",3000,TRUE,15,"Mixed",291,2148.25,2925.75,11,0.5169889
"60",3000,FALSE,15,"None",271.5,2203.25,2053.75,8.25,0.4118882
"61",3000,TRUE,11,"Light",468.5,1697,6936.5,23,0.5869594
"62",3000,TRUE,11,"Heavy",333.25,1704,7646.75,26.75,0.2868852
"63",3000,TRUE,11,"Mixed",430.75,1747.75,6095.25,20.25,0.6624522
"64",3000,FALSE,11,"None",456.5,1758.5,6699.75,22,0.6228623
"65",3000,TRUE,12,"Light",380.25,2031.75,5601.5,19,0.3801234
"66",3000,TRUE,12,"Heavy",407,1847.75,5712,18.75,0.3428862
"67",3000,TRUE,12,"Mixed",396.75,1920,5203,17.25,0.6537463
"68",3000,FALSE,12,"None",417,1921.5,5128.75,17,0.5502092
"69",3000,TRUE,13,"Light",367.5,1957.5,4394.75,14.75,0.5447825
"70",3000,TRUE,13,"Heavy",381.25,1877,4697.5,15.5,0.6084841
"71",3000,TRUE,13,"Mixed",343.25,1885.75,4642.5,16,0.2486847
"72",3000,FALSE,13,"None",309.25,2014,1877,7.75,0.117752
"73",3000,TRUE,14,"Light",309.75,2102.5,2783,10.25,0.1992386
"74",3000,TRUE,14,"Heavy",186.5,2352.5,487.75,5,0.01331759
"75",3000,TRUE,14,"Mixed",366.25,2002.5,3748.75,13,0.5468
"76",3000,FALSE,14,"None",398.5,1892.5,4400.25,14.75,0.4509503
"77",3000,TRUE,15,"Light",281,2190,2348.75,9.25,0.2637705
"78",3000,TRUE,15,"Heavy",202.5,2313.25,754.25,7,0.0797366
"79",3000,TRUE,15,"Mixed",240.5,2244,1598,6.75,0.2809119
"80",3000,FALSE,15,"None",253.75,2206.5,1814,7.75,0.2054038
"81",3000,TRUE,11,"Light",469,1757.25,6130.75,20.25,0.5203727
"82",3000,TRUE,11,"Heavy",465,1890.75,6202.25,20.25,0.6076018
"83",3000,TRUE,11,"Mixed",453,1761.25,6705.5,22.25,0.5531149
"84",3000,FALSE,11,"None",384.25,1760,5419.25,18.25,0.52216
"85",3000,TRUE,12,"Light",425.75,1904.75,5511.75,18.5,0.6329248
"86",3000,TRUE,12,"Heavy",339.75,2007.25,3693,13.25,0.3940416
"87",3000,TRUE,12,"Mixed",242,2238,1044.25,5.25,0.1143885
"88",3000,FALSE,12,"None",385.75,1921,2702.5,10,0.5242378
"89",3000,TRUE,13,"Light",341.25,1996.5,2781.75,10.5,0.2527072
"90",3000,TRUE,13,"Heavy",153.5,2420.25,242.25,3.5,0.005667238
"91",3000,TRUE,13,"Mixed",333.5,1932.75,4598,15.75,0.4374679
"92",3000,FALSE,13,"None",390.25,1856.25,4816.25,16.5,0.550549
"93",3000,TRUE,14,"Light",355.5,2002,3738.5,13.25,0.250174
"94",3000,TRUE,14,"Heavy",193.5,2330.75,1349,7,0.08589958
"95",3000,TRUE,14,"Mixed",434.25,1714.5,7024.25,23.5,0.4361123
"96",3000,FALSE,14,"None",344.75,1998.75,3727.5,12.75,0.5501226
"97",3000,TRUE,15,"Light",265.75,2178,2498.75,9.5,0.3676909
"98",3000,TRUE,15,"Heavy",300.75,2112,2563.75,9.75,0.2672921
"99",3000,TRUE,15,"Mixed",363.75,1983,4508.25,15.25,0.6091231
"100",3000,FALSE,15,"None",280,2176.5,2151,8.25,0.4251212
"101",3000,TRUE,11,"Light",427.25,1744.5,6488.25,21.25,0.5089133
"102",3000,TRUE,11,"Heavy",280.5,1972,3956.5,15,0.1993571
"103",3000,TRUE,11,"Mixed",220.5,2087.75,1903.25,7.75,0.1894662
"104",3000,FALSE,11,"None",350,2006.5,2887.25,10.75,0.4275007
"105",3000,TRUE,12,"Light",347.75,2002,4160,14.25,0.1886252
"106",3000,TRUE,12,"Heavy",477,1650.75,7711.25,24.75,0.6462125
"107",3000,TRUE,12,"Mixed",344.75,1645,6555.25,21.75,0.552083
"108",3000,FALSE,12,"None",357.75,1794,6188.25,20.5,0.3879069
"109",3000,TRUE,13,"Light",367.75,1928.75,4538,15.75,0.2685202
"110",3000,TRUE,13,"Heavy",397,1667.25,7659.25,25.75,0.4736727
"111",3000,TRUE,13,"Mixed",372,1973.75,4435.5,15,0.568792
"112",3000,FALSE,13,"None",338.25,2024.75,3776.5,13.25,0.4692964
"113",3000,TRUE,14,"Light",297.75,2096.25,2920.75,11,0.2130444
"114",3000,TRUE,14,"Heavy",206.25,2320.75,41.5,4,0.0005857733
"115",3000,TRUE,14,"Mixed",342.75,1952.25,4057.75,14,0.643485
"116",3000,FALSE,14,"None",307.25,2043.75,2534.25,9.25,0.3527789
"117",3000,TRUE,15,"Light",256.75,2165.5,1615,6.5,0.3745415
"118",3000,TRUE,15,"Heavy",218,2281,339.75,5.25,0.006224774
"119",3000,TRUE,15,"Mixed",132,2461.5,69.25,2.5,0.01868752
"120",3000,FALSE,15,"None",294.5,2131,2855.75,10.5,0.2808878
"121",3000,TRUE,11,"Light",431,1690.75,6036.5,19.75,0.5663416
"122",3000,TRUE,11,"Heavy",299.5,2092,2646.75,10.75,0.1833494
"123",3000,TRUE,11,"Mixed",456,1787.25,5589.25,18.5,0.693674
"124",3000,FALSE,11,"None",464,1765.75,6379.75,21,0.6295342
"125",3000,TRUE,12,"Light",440,1816.5,5078.25,16.75,0.632858
"126",3000,TRUE,12,"Heavy",351.5,1833.75,5329.25,17.75,0.5899742
"127",3000,TRUE,12,"Mixed",381.75,1719.25,6191,20.25,0.5361286
"128",3000,FALSE,12,"None",275,1638.75,6473.5,21.5,0.4832428
"129",3000,TRUE,13,"Light",339.75,2038.75,3772.5,13,0.3099999
"130",3000,TRUE,13,"Heavy",152.5,2422.75,355.5,4,0.00784581
"131",3000,TRUE,13,"Mixed",277.75,2185.25,1932.5,8,0.4163834
"132",3000,FALSE,13,"None",354.75,2016.5,3173,11.5,0.3901119
"133",3000,TRUE,14,"Light",246.75,2230.75,1703.75,7.25,0.2110203
"134",3000,TRUE,14,"Heavy",164.5,2435,144.5,3.5,0.003396915
"135",3000,TRUE,14,"Mixed",164.5,2394.25,403,3.5,0.05146645
"136",3000,FALSE,14,"None",319.75,2075.25,2922.75,11,0.3341138
"137",3000,TRUE,15,"Light",277.75,2184.5,2245,8.75,0.306806
"138",3000,TRUE,15,"Heavy",240.25,2245.25,1731,7.5,0.3423805
"139",3000,TRUE,15,"Mixed",308.5,2093,2649,10.25,0.495086
"140",3000,FALSE,15,"None",240.5,2236.75,1462.5,6.75,0.2520482
